"Gene.stable.ID"	"Gene.name"	"Gene.name.uniq"	"in.dataset"	"ZFIN.ID"	"Gene.description"
"53"	"ENSDARG00000076959"	"si:ch211-38m6.6"	"si:ch211-38m6.6"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070705-179\")"	"si:ch211-38m6.6 [Source:ZFIN;Acc:ZDB-GENE-070705-179]"
"66"	"ENSDARG00000031768"	"roraa"	"roraa"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060306-2\")"	"RAR-related orphan receptor A, paralog a [Source:ZFIN;Acc:ZDB-GENE-060306-2]"
"88"	"ENSDARG00000036371"	"acta1a"	"acta1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-267\")"	"actin, alpha 1a, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-050417-267]"
"128"	"ENSDARG00000068194"	"klf9"	"klf9"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060526-244\")"	"Kruppel-like factor 9 [Source:ZFIN;Acc:ZDB-GENE-060526-244]"
"130"	"ENSDARG00000078492"	"swi5"	"swi5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-091204-368\")"	"SWI5 homologous recombination repair protein [Source:ZFIN;Acc:ZDB-GENE-091204-368]"
"134"	"ENSDARG00000099273"	"zgc:103508"	"zgc:103508"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041212-28\")"	"zgc:103508 [Source:ZFIN;Acc:ZDB-GENE-041212-28]"
"135"	"ENSDARG00000079119"	"si:ch211-229d2.5"	"si:ch211-229d2.5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-121214-200\")"	"si:ch211-229d2.5 [Source:ZFIN;Acc:ZDB-GENE-121214-200]"
"140"	"ENSDARG00000020072"	"thbs4b"	"thbs4b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020708-4\")"	"thrombospondin 4b [Source:ZFIN;Acc:ZDB-GENE-020708-4]"
"195"	"ENSDARG00000035665"	"si:dkey-267n13.1"	"si:dkey-267n13.1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141211-35\")"	"si:dkey-267n13.1 [Source:ZFIN;Acc:ZDB-GENE-141211-35]"
"251"	"ENSDARG00000014817"	"ranbp1"	"ranbp1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2548\")"	"RAN binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2548]"
"257"	"ENSDARG00000041051"	"mid1ip1a"	"mid1ip1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-990415-81\")"	"MID1 interacting protein 1a [Source:ZFIN;Acc:ZDB-GENE-990415-81]"
"269"	"ENSDARG00000062147"	"otc"	"otc"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070912-422\")"	"ornithine carbamoyltransferase [Source:ZFIN;Acc:ZDB-GENE-070912-422]"
