gene_id	gene_name	ZFIN.ID	Description
ENSDARG00000083480	AC024175.23	https://zfin.org/	
ENSDARG00000082753	AC024175.17	https://zfin.org/	
ENSDARG00000081443	AC024175.10	https://zfin.org/	
ENSDARG00000080337	AC024175.4	https://zfin.org/	
ENSDARG00000083046	AC024175.19	https://zfin.org/	
ENSDARG00000063895	mt-nd1	https://zfin.org/ZDB-GENE-011205-7	"NADH dehydrogenase 1, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-7]"
ENSDARG00000083118	AC024175.20	https://zfin.org/	
ENSDARG00000080630	AC024175.6	https://zfin.org/	
ENSDARG00000082084	AC024175.14	https://zfin.org/	
ENSDARG00000063899	mt-nd2	https://zfin.org/ZDB-GENE-011205-8	"NADH dehydrogenase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-8]"
ENSDARG00000080718	AC024175.7	https://zfin.org/	
ENSDARG00000080401	AC024175.5	https://zfin.org/	
ENSDARG00000081938	AC024175.13	https://zfin.org/	
ENSDARG00000082789	AC024175.18	https://zfin.org/	
ENSDARG00000080128	AC024175.1	https://zfin.org/	
ENSDARG00000063905	mt-co1	https://zfin.org/ZDB-GENE-011205-14	"cytochrome c oxidase I, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-14]"
ENSDARG00000081369	AC024175.9	https://zfin.org/	
ENSDARG00000083519	AC024175.24	https://zfin.org/	
ENSDARG00000063908	mt-co2	https://zfin.org/ZDB-GENE-011205-15	"cytochrome c oxidase II, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-15]"
ENSDARG00000080151	AC024175.2	https://zfin.org/	
ENSDARG00000063910	mt-atp8	https://zfin.org/ZDB-GENE-011205-19	"ATP synthase 8, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-19]"
ENSDARG00000063911	mt-atp6	https://zfin.org/ZDB-GENE-011205-18	"ATP synthase 6, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-18]"
ENSDARG00000063912	mt-co3	https://zfin.org/ZDB-GENE-011205-16	"cytochrome c oxidase III, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-16]"
ENSDARG00000081758	AC024175.12	https://zfin.org/	
ENSDARG00000063914	mt-nd3	https://zfin.org/ZDB-GENE-011205-9	"NADH dehydrogenase 3, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-9]"
ENSDARG00000080329	AC024175.3	https://zfin.org/	
ENSDARG00000063916	mt-nd4l	https://zfin.org/ZDB-GENE-011205-11	"NADH dehydrogenase 4L, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-11]"
ENSDARG00000063917	mt-nd4	https://zfin.org/ZDB-GENE-011205-10	"NADH dehydrogenase 4, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-10]"
ENSDARG00000082716	AC024175.16	https://zfin.org/	
ENSDARG00000082123	AC024175.15	https://zfin.org/	
ENSDARG00000081280	AC024175.8	https://zfin.org/	
ENSDARG00000063921	mt-nd5	https://zfin.org/ZDB-GENE-011205-12	"NADH dehydrogenase 5, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-12]"
ENSDARG00000063922	mt-nd6	https://zfin.org/ZDB-GENE-011205-13	"NADH dehydrogenase 6, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-13]"
ENSDARG00000083312	AC024175.21	https://zfin.org/	
ENSDARG00000063924	mt-cyb	https://zfin.org/ZDB-GENE-011205-17	"cytochrome b, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-17]"
ENSDARG00000083462	AC024175.22	https://zfin.org/	
ENSDARG00000081475	AC024175.11	https://zfin.org/	
ENSDARG00000092282	si:ch211-203l7.3	https://zfin.org/ZDB-GENE-091204-366	si:ch211-203l7.3 [Source:ZFIN;Acc:ZDB-GENE-091204-366]
ENSDARG00000093014	si:dkey-207j16.3	https://zfin.org/ZDB-GENE-041210-337	si:dkey-207j16.3 [Source:ZFIN;Acc:ZDB-GENE-041210-337]
