"Gene.stable.ID"	"Gene.name"	"ZFIN.ID"	"Gene.name.uniq"	"Gene.description"	"Source.of.gene.name"
"1"	"ENSDARG00000099104"	"rpl24"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020419-25\")"	"rpl24"	"ribosomal protein L24 [Source:ZFIN;Acc:ZDB-GENE-020419-25]"	"ZFIN"
"2"	"ENSDARG00000102407"	"cep97"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031030-11\")"	"cep97"	"centrosomal protein 97 [Source:ZFIN;Acc:ZDB-GENE-031030-11]"	"ZFIN"
"3"	"ENSDARG00000102097"	"nfkbiz"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-071024-1\")"	"nfkbiz"	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta [Source:ZFIN;Acc:ZDB-GENE-071024-1]"	"ZFIN"
"5"	"ENSDARG00000099640"	"eed"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-287\")"	"eed"	"embryonic ectoderm development [Source:ZFIN;Acc:ZDB-GENE-050417-287]"	"ZFIN"
"6"	"ENSDARG00000104071"	"hikeshi"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-34\")"	"hikeshi"	"heat shock protein nuclear import factor hikeshi [Source:ZFIN;Acc:ZDB-GENE-050417-34]"	"ZFIN"
"7"	"ENSDARG00000102746"	"tmem39a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1928\")"	"tmem39a"	"transmembrane protein 39A [Source:ZFIN;Acc:ZDB-GENE-030131-1928]"	"ZFIN"
"8"	"ENSDARG00000103929"	"ildr1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1412\")"	"ildr1a"	"immunoglobulin-like domain containing receptor 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1412]"	"ZFIN"
"10"	"ENSDARG00000100223"	"gpa33a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080229-4\")"	"gpa33a"	"glycoprotein A33 (transmembrane), paralog a [Source:ZFIN;Acc:ZDB-GENE-080229-4]"	"ZFIN"
"12"	"ENSDARG00000100782"	"f7l"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-102\")"	"f7l"	"coagulation factor VII, like [Source:ZFIN;Acc:ZDB-GENE-070424-102]"	"ZFIN"
"13"	"ENSDARG00000034862"	"f7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010814-1\")"	"f7"	"coagulation factor VII [Source:ZFIN;Acc:ZDB-GENE-010814-1]"	"ZFIN"
"15"	"ENSDARG00000088581"	"f10"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-021206-9\")"	"f10"	"coagulation factor X [Source:ZFIN;Acc:ZDB-GENE-021206-9]"	"ZFIN"
"16"	"ENSDARG00000076900"	"prozb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120816-1\")"	"prozb"	"protein Z, vitamin K-dependent plasma glycoprotein b [Source:ZFIN;Acc:ZDB-GENE-120816-1]"	"ZFIN"
"17"	"ENSDARG00000013802"	"pcid2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041114-79\")"	"pcid2"	"PCI domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-041114-79]"	"ZFIN"
"18"	"ENSDARG00000096578"	"cul4a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1357\")"	"cul4a"	"cullin 4A [Source:ZFIN;Acc:ZDB-GENE-040426-1357]"	"ZFIN"
"20"	"ENSDARG00000100181"	"lamp1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-3708\")"	"lamp1a"	"lysosomal associated membrane protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3708]"	"ZFIN"
"21"	"ENSDARG00000029936"	"grtp1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2733\")"	"grtp1a"	"growth hormone regulated TBC protein 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2733]"	"ZFIN"
"22"	"ENSDARG00000041589"	"adprhl1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041010-126\")"	"adprhl1"	"ADP-ribosylhydrolase like 1 [Source:ZFIN;Acc:ZDB-GENE-041010-126]"	"ZFIN"
"23"	"ENSDARG00000041592"	"dcun1d2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040625-171\")"	"dcun1d2b"	"DCN1, defective in cullin neddylation 1, domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-040625-171]"	"ZFIN"
